任务名,时间,训练数据量,测试数据量,mse,区块号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,其他
入口排量模型3,22:00.1,23582,3174,0.644452313,9,[11],9.59,5.54,12.72,9.69,5.9,12.73, 
入口排量模型3,22:07.0,20951,5805,1.419505646,9,[21],1.44,2.97,0.4,0.75,2.52,0, 
入口排量模型3,22:15.4,22823,3933,123.8233837,9,[17],2.93,5.81,-0.03,9.75,12.35,0, 
入口排量模型3,22:21.3,12912,13844,210.8561081,9,[111],0.03,0.04,0.02,12.49,7.44,16.16, 
,,,,,区块号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,
入口排量模型3,22:42.8,148831,8244,147484.5583,2,[7],363.75,184.76,293.59,22.23,9.81,24.46, 
入口排量模型3,23:04.2,152308,4767,103860.3535,2,[14],3.44,2.72,4.77,253.91,204.63,252.48, 
入口排量模型3,23:25.1,135721,21354,101.8653273,2,[32],21.46,15.49,16.31,28.12,20.1,20.38, 
入口排量模型3,23:47.6,156808,267,17.69944503,2,[38],21.41,10.07,17.99,24.92,11.77,21.26, 
入口排量模型3,24:07.4,108301,48774,205.6855998,2,[40],15.25,10.85,14.04,25.38,17.41,26.76, 
入口排量模型3,24:29.7,145990,11085,60.89794362,2,[52],12.54,10.81,10.77,15.98,12.47,14.99, 
入口排量模型3,24:52.0,152955,4120,7.739167874,2,[55],15.49,14.91,14.4,14.53,15.07,12.26, 
入口排量模型3,25:14.6,141234,15841,25117.25958,2,[58],95.88,126.51,39.56,0.26,0.18,0.26, 
入口排量模型3,25:41.1,148435,8640,77072.4388,2,[2],232.05,186.7,384.75,23.13,8.55,28.06, 
入口排量模型3,26:09.2,151823,5252,130.3037512,2,[70],32.89,10.28,37.77,23.35,8.49,28.5, 
入口排量模型3,26:35.1,143584,13491,47.98009015,2,[78],19.95,14.97,15.49,24.1,19.79,14.55, 
入口排量模型3,27:01.1,141835,15240,245.6109237,2,[108],7.36,6.96,8.57,19.1,12.53,20.51, 
,,,,,区块号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,
入口排量模型3,27:09.1,14714,8355,0.461295219,1,[8],8.04,2.93,9.12,7.61,2.47,8.43, 
入口排量模型3,27:17.2,18154,4915,0.398549271,1,[63],10.98,5.74,14.13,11.51,6.03,14.79, 
入口排量模型3,27:24.3,13270,9799,0.729851731,1,[23],10.03,5.74,13.43,10.3,6.02,12.74, 
,,,,,区块号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,
入口排量模型3,27:33.0,15846,3480,211.8060382,15,[36],7.57,12.92,1.22,0.21,0.5,0, 
入口排量模型3,27:41.8,18133,1193,91.26631666,15,[46],10.86,10.14,14.2,16.33,12.44,24.24, 
入口排量模型3,27:50.1,15200,4126,114.1759355,15,[56],15.28,13.65,18.13,8.55,7.16,9.79, 
入口排量模型3,27:56.5,8799,10527,423.9321112,15,[86],0.23,0.21,0.22,14.38,15.11,7.6, 
,,,,,区块号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,
入口排量模型3,2023-11-11 14:39:07.328021,23582,3174,0.6444523133732591,9.0,[11],9.59,5.54,12.72,9.69,5.9,12.73, 
入口排量模型3,2023-11-11 14:39:14.174259,20951,5805,1.4195056460423356,9.0,[21],1.44,2.97,0.4,0.75,2.52,0.0, 
入口排量模型3,2023-11-11 14:39:22.593099,22823,3933,123.8233837022228,9.0,[17],2.93,5.81,-0.03,9.75,12.35,0.0, 
入口排量模型3,2023-11-11 14:39:28.522702,12912,13844,210.8561080773429,9.0,[111],0.03,0.04,0.02,12.49,7.44,16.16, 
,,,,,区块号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true
入口排量模型3,2023-11-11 14:39:49.341516,148831,8244,147484.55833679618,2.0,[7],363.75,184.76,293.59,22.23,9.81,24.46, 
入口排量模型3,2023-11-11 14:40:11.406152,152308,4767,103860.35351406362,2.0,[14],3.44,2.72,4.77,253.91,204.63,252.48, 
入口排量模型3,2023-11-11 14:40:32.335859,135721,21354,101.86532732988958,2.0,[32],21.46,15.49,16.31,28.12,20.1,20.38, 
入口排量模型3,2023-11-11 14:40:54.908080,156808,267,17.69944502625601,2.0,[38],21.41,10.07,17.99,24.92,11.77,21.26, 
入口排量模型3,2023-11-11 14:41:14.187862,108301,48774,205.68559978671982,2.0,[40],15.25,10.85,14.04,25.38,17.41,26.76, 
入口排量模型3,2023-11-11 14:41:35.457998,145990,11085,60.897943616746794,2.0,[52],12.54,10.81,10.77,15.98,12.47,14.99, 
入口排量模型3,2023-11-11 14:41:58.436140,152955,4120,7.739167874499863,2.0,[55],15.49,14.91,14.4,14.53,15.07,12.26, 
入口排量模型3,2023-11-11 14:42:21.305026,141234,15841,25117.25958332646,2.0,[58],95.88,126.51,39.56,0.26,0.18,0.26, 
入口排量模型3,2023-11-11 14:42:44.749205,148435,8640,77072.43880236059,2.0,[2],232.05,186.7,384.75,23.13,8.55,28.06, 
入口排量模型3,2023-11-11 14:43:09.104746,151823,5252,130.30375122053132,2.0,[70],32.89,10.28,37.77,23.35,8.49,28.5, 
入口排量模型3,2023-11-11 14:43:33.538246,143584,13491,47.98009015277865,2.0,[78],19.95,14.97,15.49,24.1,19.79,14.55, 
入口排量模型3,2023-11-11 14:43:57.393366,141835,15240,245.61092374317968,2.0,[108],7.36,6.96,8.57,19.1,12.53,20.51, 
,,,,,区块号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true
入口排量模型3,2023-11-11 14:44:04.236583,14714,8355,0.4612952189102201,1.0,[8],8.04,2.93,9.12,7.61,2.47,8.43, 
入口排量模型3,2023-11-11 14:44:10.622535,18154,4915,0.3985492706800294,1.0,[63],10.98,5.74,14.13,11.51,6.03,14.79, 
入口排量模型3,2023-11-11 14:44:16.790147,13270,9799,0.7298517312440292,1.0,[23],10.03,5.74,13.43,10.3,6.02,12.74, 
,,,,,区块号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true
入口排量模型3,2023-11-11 14:44:25.122947,15846,3480,211.80603824660963,15.0,[36],7.57,12.92,1.22,0.21,0.5,0.0, 
入口排量模型3,2023-11-11 14:44:33.662003,18133,1193,91.26631666122928,15.0,[46],10.86,10.14,14.2,16.33,12.44,24.24, 
入口排量模型3,2023-11-11 14:44:41.332513,15200,4126,114.17593554535543,15.0,[56],15.28,13.65,18.13,8.55,7.16,9.79, 
入口排量模型3,2023-11-11 14:44:47.435110,8799,10527,423.9321111585735,15.0,[86],0.23,0.21,0.22,14.38,15.11,7.6, 
,,,,,区块号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true
