任务名,时间,训练数据量,测试数据量,mse,区块号,训练井号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,mean_diff,其他
立管压力模型1,14:57.5,14870,1556,135.4120829,9,"[21, 17, 111]",[11],8.08,2.5,9.35,13.78,9.85,18.01,5.7, 
立管压力模型1,14:58.4,13551,2875,21.1450349,9,"[11, 17, 111]",[21],2.62,3.78,1.1,0,0,0,2.62, 
立管压力模型1,14:59.2,14521,1905,15.26652903,9,"[11, 21, 111]",[17],5.96,8.38,0.1,7.65,8.93,0.25,1.69, 
立管压力模型1,15:00.0,6336,10090,84.04609742,9,"[11, 21, 17]",[111],16.43,5.38,20.63,7.51,3.99,10.06,8.92, 
,,,,,区块号,训练井号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,mean_diff,
立管压力模型1,15:02.6,69845,1218,6.460624005,2,"[14, 32, 38, 40, 52, 58, 2, 70, 78, 108]",[7],5.66,3.6,6.78,7.36,4.46,8.88,1.7, 
立管压力模型1,15:05.1,68927,2136,91.5476669,2,"[7, 32, 38, 40, 52, 58, 2, 70, 78, 108]",[14],9.86,9.86,1.12,7.32,2.29,7.25,2.54, 
立管压力模型1,15:07.4,60388,10675,11.8471998,2,"[7, 14, 38, 40, 52, 58, 2, 70, 78, 108]",[32],7.4,4.95,7.25,4.66,4.93,3.38,2.74, 
立管压力模型1,15:09.9,70916,147,5.528310796,2,"[7, 14, 32, 40, 52, 58, 2, 70, 78, 108]",[38],4.56,1.06,4.58,5.67,2.05,5.71,1.11, 
立管压力模型1,15:12.2,52818,18245,8.806165431,2,"[7, 14, 32, 38, 52, 58, 2, 70, 78, 108]",[40],10.42,5.7,12.21,9.16,4.91,9.15,1.26, 
立管压力模型1,15:14.6,65564,5499,32.75969766,2,"[7, 14, 32, 38, 40, 58, 2, 70, 78, 108]",[52],8.97,6.15,6.61,12.32,10.48,8.88,3.35, 
立管压力模型1,15:17.0,63160,7903,23.16122803,2,"[7, 14, 32, 38, 40, 52, 2, 70, 78, 108]",[58],2.44,3.54,1.51,2.11,2.86,0,0.33, 
立管压力模型1,15:19.6,66887,4176,46.39721372,2,"[7, 14, 32, 38, 40, 52, 58, 70, 78, 108]",[2],15.55,9.23,20.87,21.23,11.37,20,5.68, 
立管压力模型1,15:22.2,68567,2496,89.64979584,2,"[7, 14, 32, 38, 40, 52, 58, 2, 78, 108]",[70],7.97,4.64,5.87,16.81,5.62,17.01,8.84, 
立管压力模型1,15:24.6,62905,8158,3.453969362,2,"[7, 14, 32, 38, 40, 52, 58, 2, 70, 108]",[78],2.88,2.38,2.47,3.2,1.69,3.72,0.32, 
立管压力模型1,15:27.1,60653,10410,45.83014536,2,"[7, 14, 32, 38, 40, 52, 58, 2, 70, 78]",[108],5.78,5.54,4.89,10.74,9.32,9.83,4.96, 
,,,,,区块号,训练井号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,mean_diff,
立管压力模型1,15:28.0,7328,4272,14.62925439,1,"[63, 23]",[8],16.51,4.42,17.42,18.32,6.54,21.47,1.81, 
立管压力模型1,15:28.6,9151,2449,106.4153262,1,"[8, 23]",[63],9.62,2.7,10.09,19.09,5.87,20.93,9.47, 
立管压力模型1,15:29.4,6721,4879,20.96699081,1,"[8, 63]",[23],10.05,7.58,14.32,11.93,8.04,11.97,1.88, 
,,,,,区块号,训练井号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,mean_diff,
立管压力模型1,15:30.3,7535,1734,49.32151414,15,"[46, 56, 86]",[36],6.77,3,5.18,2.73,6.23,0,4.04, 
立管压力模型1,15:31.2,9125,144,24.40854199,15,"[36, 56, 86]",[46],11.1,0.06,11.11,16,0.65,16.26,4.9, 
立管压力模型1,15:31.9,7203,2066,97.40033197,15,"[36, 46, 86]",[56],1.91,1.71,0.77,8.18,9.19,3.64,6.27, 
立管压力模型1,15:32.5,3944,5325,22.14808601,15,"[36, 46, 56]",[86],6.69,2.54,6.65,3.07,3.6,2.2,3.62, 
,,,,,区块号,训练井号,测试井号,mean_pred,std_pred,median_pred,mean_true,std_true,median_true,mean_diff,
